"slug","legal_name","brand_name","primary_category","website","verification_status","reason"
"boldswitch-software","BOLDSWITCH SOFTWARE LIMITED","BOLD","digital-lender","","officially-verified","official-website-and-logo-source-required"
"bond-well-insurance-brokers-l-t-d","Bond Well Insurance Brokers L.t.d","Bond Well Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"boof-africa-insurance-brokers","Boof Africa Insurance Brokers Ltd","Boof Africa Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"centurion-ideas","CENTURION IDEAS LIMITED","BOROMI","digital-lender","","officially-verified","official-website-and-logo-source-required"
"seamlesshr-com","SEAMLESSHR.COM LIMITED","BREEZE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"brexton-insurance-brokers","BREXTON INSURANCE BROKERS LTD","BREXTON INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bri-capital","BRI CAPITAL LIMITED","BRICAPITAL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"brickred-insurance-brokers-l-t-d","Brickred Insurance Brokers L.t.d","Brickred Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bridgegate-insurance-brokers","Bridgegate Insurance Brokers Ltd","Bridgegate Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bridgestone-insurance-brokers-l-t-d","Bridgestone Insurance Brokers L.t.d","Bridgestone Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bridget-platinum-insurance-brokers","Bridget Platinum Insurance Brokers Ltd","Bridget Platinum Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"brightpath-credit","BRIGHTPATH CREDIT LIMITED","BRIGHTPATH CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"brightways-insurance-brokers-l-t-d","Brightways Insurance Brokers L.t.d","Brightways Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bsl-insurance-brokers-l-t-d","BSL Insurance Brokers L.t.d","BSL Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bt-payments-services","BT Payments Services Nigeria Limited","BT Payments Services","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"bud-infrastructure","Bud Infrastructure Limited","Bud Infrastructure","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"bud-technology-services","BUD TECHNOLOGY SERVICES","BUD TECHNOLOGY SERVICES","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"buffer-insurance-brokers","BUFFER INSURANCE BROKERS LTD","BUFFER INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bullionmonie","BULLIONMONIE LIMITED","BULLIONMONIE LOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"bundles-insurance-brokers","BUNDLES INSURANCE BROKERS LIMITED","BUNDLES INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"busag-insurances-brokers-l-t-d","Busag Insurances Brokers L.t.d","Busag Insurances Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"busiyard","BUSIYARD LIMITED","BUSIYARD CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"bvm-insurance-brokers","BVM Insurance Brokers Ltd","BVM Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"bvnk-services","Bvnk Services Limited","Bvnk Services","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"byt-risk-solutions-insurance-brokers","BYT (Risk Solutions) Insurance Brokers Ltd","BYT (Risk Solutions) Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"c-and-i-insurance-brokers","C & I Insurance Brokers Ltd","C & I Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"c24","C24 Limited","C24","super-agent","","officially-verified","official-website-and-logo-source-required"
"cadence-insurance-brokers","Cadence Insurance Brokers Limited","Cadence Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"callphone","Callphone Limited","Callphone","super-agent","","officially-verified","official-website-and-logo-source-required"
"arziki-bridge-technology","ARZIKI BRIDGE TECHNOLOGY LIMITED","CALM CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"capacity-search-insurance-brokers","Capacity Search Insurance Brokers Ltd","Capacity Search Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"capimore","CAPIMORE LIMITED","CAPIMORE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"capital-alliance-services-insurance-brokers-l-t-d","Capital Alliance Services Insurance Brokers L.t.d","Capital Alliance Services Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"capital-express-assurance","Capital Express Assurance Limited","Capital Express Assurance","insurer","","officially-verified","official-website-and-logo-source-required"
"capitalwise-dynamic-pay-c","CAPITALWISE DYNAMIC PAY C LIMITED","CAPITALWISE PAYMENT WEB","digital-lender","","officially-verified","official-website-and-logo-source-required"
"capival-investment","CAPIVAL INVESTMENT LIMITED","CAPIVAL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"capricorn-digital","Capricorn Digital Limited","Capricorn Digital","super-agent","","officially-verified","official-website-and-logo-source-required"
"capstone-insurance-brokers-l-t-d","Capstone Insurance Brokers L.t.d","Capstone Insurance Brokers L.t.d","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"care-credit","CARE CREDIT LIMITED","CARE CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"casava-microinsurance","Casava Microinsurance Ltd","Casava Microinsurance","insurer","","officially-verified","official-website-and-logo-source-required"
"cash-advance","CASH ADVANCE LIMITED","CASHADVANCE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"raceova","RACEOVA NIGERIA LIMITED","CASHBUS","digital-lender","","officially-verified","official-website-and-logo-source-required"
"servicefirst-ng","SERVICEFIRST NG LTD","CASHDASH","digital-lender","","officially-verified","official-website-and-logo-source-required"
"wealthy-sum-tech-and-global","WEALTHY-SUM TECH & GLOBAL LTD","CASHFILLY","digital-lender","","officially-verified","official-website-and-logo-source-required"
"credility-fin-services","CREDILITY FIN SERVICES LIMITED","CASHGO","digital-lender","","officially-verified","official-website-and-logo-source-required"
