"slug","legal_name","brand_name","aliases","primary_category","categories","country_code","nigeria_presence","regulators","licence_types","regulatory_status","verification_status","website","source_urls","source_types","source_retrieved_at","logo_slug","added_at","updated_at"
"gabtrans-uk-limited-money-to","GABTRANS UK LIMITED/MONEY TO LIMITED","GABTRANS UK LIMITED/MONEY TO","GABTRANS UK LIMITED/MONEY TO LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"global-currency-travel-and-tours","GLOBAL CURRENCY TRAVEL & TOURS LIMITED","GLOBAL CURRENCY TRAVEL & TOURS","GLOBAL CURRENCY TRAVEL & TOURS LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"goldstack-technologies","GOLDSTACK TECHNOLOGIES LIMITED","GOLDSTACK TECHNOLOGIES","GOLDSTACK TECHNOLOGIES LIMITED","remittance-imto","remittance-imto","CA","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"grants-payments-solutions","GRANTS PAYMENTS SOLUTIONS LIMITED","GRANTS PAYMENTS SOLUTIONS","GRANTS PAYMENTS SOLUTIONS LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"gtxn-co","GTXN CO","GTXN CO","","remittance-imto","remittance-imto","US","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"idt-payment-services","IDT PAYMENT SERVICES INC","IDT PAYMENT SERVICES","IDT PAYMENT SERVICES INC","remittance-imto","remittance-imto","US","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"juba-express","JUBA EXPRESS","JUBA EXPRESS","","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"kredete-technology","KREDETE TECHNOLOGY LIMITED","KREDETE TECHNOLOGY","KREDETE TECHNOLOGY LIMITED","remittance-imto","remittance-imto","CA","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"leadremit-inc-first-apple","LEADREMIT INC (FIRST APPLE)","LEADREMIT INC (FIRST APPLE)","","remittance-imto","remittance-imto","US","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"lightway-finance","LIGHTWAY FINANCE LIMITED","LIGHTWAY FINANCE","LIGHTWAY FINANCE LIMITED|STERLING CURRENCY EXCHANGE LTD","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"mastercard-transaction-services-mts","MASTERCARD TRANSACTION SERVICES (MTS)","MASTERCARD TRANSACTION SERVICES (MTS)","","remittance-imto","remittance-imto","US","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
