"slug","legal_name","brand_name","aliases","primary_category","categories","country_code","nigeria_presence","regulators","licence_types","regulatory_status","verification_status","website","source_urls","source_types","source_retrieved_at","logo_slug","added_at","updated_at"
"omalend-service","OMALEND SERVICE LIMITED","OMAFIN","OMAFIN|OMALEND SERVICE LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"ombrella-insurance-brokers","Ombrella Insurance Brokers Ltd","Ombrella Insurance Brokers","Ombrella Insurance Brokers Ltd|RBC-910","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"omi-insurance-brokers","Omi Insurance Brokers Nigeria Ltd","Omi Insurance Brokers","Omi Insurance Brokers Nigeria Ltd|RBC-1089","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"blueone","BLUEONE NIGERIA LIMITED","OMNIKASH","BLUEONE NIGERIA LIMITED|OMNIKASH|RAPIDNAIRA","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"omowell-insurance-brokers","Omowell Insurance Brokers Ltd","Omowell Insurance Brokers","Omowell Insurance Brokers Ltd|RBC-626","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"onecard-topup-services","Onecard Topup Services Limited","Onecard Topup Services","Onecard Topup Services Limited","payment-terminal-service-provider","payment-terminal-service-provider","NG","nigerian-company","CBN","PTSP","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"de-valueguard","DE VALUEGUARD LTD","ONECASH","DE VALUEGUARD LTD|IFLEX|ONECASH","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"onepipe-io-services","Onepipe.Io Services Ltd","Onepipe.Io Services","Onepipe.Io Services Ltd","payment-solution-service-provider","payment-solution-service-provider","NG","nigerian-company","CBN","PSSP","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"onif-insurance-brokers","ONIF Insurance Brokers Ltd","ONIF Insurance Brokers","ONIF Insurance Brokers Ltd|RBC-952","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
"ontop-insurance-brokers","ONTOP INSURANCE BROKERS","ONTOP INSURANCE BROKERS","RBC-1073","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
